208, -173, 2 
-94, 119, 1 
-92, 116, 1 
-110, 116, 1 
-84, 115, 1 
-79, 110, 1 
213, -166, 2 
-93, 123, 1 
206, -176, 2 
190, 214, 0 
-110, 100, 1 
-119, 123, 1 
-115, 93, 1 
188, 218, 0 
-78, 121, 1 
200, -126, 2 
-100, 97, 1 
-91, 86, 1 
-84, 118, 1 
184, 227, 0 
204, -169, 2 
-81, 108, 1 
-97, 121, 1 
211, -156, 2 
218, -141, 2 
-119, 103, 1 
171, 221, 0 
177, 235, 0 
-81, 109, 1 
220, -164, 2 
215, -152, 2 
-97, 107, 1 
196, 225, 0 
-94, 105, 1 
206, -148, 2 
-75, 97, 1 
211, -185, 2 
-108, 116, 1 
-95, 104, 1 
-112, 103, 1 
-80, 113, 1 
217, -158, 2 
214, -139, 2 
205, -139, 2 
179, 221, 0 
165, 224, 0 
-132, 119, 1 
218, -176, 2 
191, 205, 0 
-163, 198, 0 
-106, 112, 1 
217, -149, 2 
188, 223, 0 
-87, 92, 1 
205, -177, 2 
186, 229, 0 
203, -163, 2 
168, 215, 0 
-93, 88, 1 
156, 118, 1 
-121, 101, 1 
209, -163, 2 
185, 224, 0 
167, 209, 0 
190, 223, 0 
-121, 115, 1 
205, -140, 2 
-83, 108, 1 
214, -154, 2 
-98, 112, 1 
-103, 115, 1 
-114, 109, 1 
-95, 247, 1 
182, 213, 0 
217, -145, 2 
-96, 115, 1 
-95, 127, 1 
297, -147, 2 
169, 110, 0 
215, -156, 2 
209, -134, 2 
-112, 98, 1 
-112, 92, 1 
-120, 100, 1 
216, -153, 2 
-109, 95, 1 
-107, 119, 1 
170, 211, 0 
195, 205, 0 
207, -163, 2 
198, -147, 2 
-130, 99, 1 
172, 221, 0 
183, 224, 0 
-129, 93, 1 
189, 222, 0 
204, -171, 2 
-124, 102, 1 
217, -172, 2 
210, -154, 2 
216, -145, 2 
-118, 111, 1 
201, -142, 2 
217, -157, 2 
208, -127, 2 
212, -158, 2 
-85, 121, 1 
175, 223, 0 
205, 219, 0 
215, -126, 2 
205, 236, 0 
187, 223, 0 
205, -162, 2 
216, -178, 2 
-96, 107, 1 
183, 215, 0 
212, -145, 2 
163, 216, 0 
209, -117, 2 
-81, 106, 1 
208, -175, 2 
198, 224, 0 
190, 222, 0 
182, 208, 0 
210, -149, 2 
184, 220, 0 
-86, 92, 1 
-97, -299, 1 
-98, 106, 1 
219, -165, 2 
-120, 100, 1 
-89, 112, 1 
213, -174, 2 
201, -157, 2 
-91, 90, 1 
208, -149, 2 
210, -159, 2 
-73, 110, 1 
183, 212, 0 
-127, 112, 1 
214, -121, 2 
167, 224, 0 
157, 230, 0 
-89, 106, 1 
-77, 113, 1 
213, -165, 2 
207, -142, 2 
215, -141, 2 
200, -136, 2 
181, 244, 0 
-102, 120, 1 
190, 220, 0 
-83, 124, 1 
-109, 109, 1 
212, -124, 2 
184, 216, 0 
189, 230, 0 
-80, 99, 1 
214, -171, 2 
-122, 110, 1 
-75, 105, 1 
-125, 102, 1 
220, -150, 2 
174, 227, 0 
-126, 116, 1 
210, -155, 2 
-130, 109, 1 
166, 218, 0 
-123, 124, 1 
201, -130, 2 
183, 233, 0 
212, -129, 2 
-91, 119, 1 
-102, 108, 1 
205, -135, 2 
206, -153, 2 
207, -144, 2 
177, 216, 0 
208, -123, 2 
-94, 109, 1 
-122, 111, 1 
206, -141, 2 
-94, 103, 1 
-74, 113, 1 
210, -146, 2 
215, -160, 2 
198, 226, 0 
-97, 115, 1 
-101, 114, 1 
-100, 104, 1 
-83, 115, 1 
202, -163, 2 
-91, 113, 1 
178, 214, 0 
-96, 125, 1 
215, -139, 2 
-83, 99, 1 
191, 230, 0 
214, -133, 2 
213, -160, 2 
-101, 112, 1 
169, 216, 0 
203, 217, 0 
179, 207, 0 
210, -160, 2 
-91, 113, 1 
181, 214, 0 
177, 227, 0 
216, -155, 2 
207, -175, 2 
185, 231, 0 
201, -128, 2 
194, 221, 0 
210, -175, 2 
-104, 120, 1 
211, -169, 2 
-80, 111, 1 
180, 227, 0 
-104, 110, 1 
175, 216, 0 
-98, 112, 1 
212, -141, 2 
223, -164, 2 
210, -170, 2 
-89, 109, 1 
-123, 109, 1 
-97, 120, 1 
196, 203, 0 
207, -152, 2 
210, -146, 2 
207, -123, 2 
-107, 134, 1 
-120, 116, 1 
-84, 85, 1 
223, -132, 2 
215, -195, 2 
207, -140, 2 
181, 224, 0 
207, -176, 2 
-114, 127, 1 
202, -178, 2 
169, 196, 0 
169, 208, 0 
-66, 119, 1 
-92, 123, 1 
-95, 113, 1 
-70, 117, 1 
202, -140, 2 
193, 218, 0 
219, -156, 2 
-75, 95, 1 
215, -184, 2 
213, -181, 2 
166, 232, 0 
-112, 112, 1 
179, 224, 0 
-97, 100, 1 
-88, 218, 0 
197, 213, 0 
182, 213, 0 
171, 218, 0 
174, 102, 0 
-117, 109, 1 
-98, 104, 1 
178, 212, 0 
-90, 111, 1 
204, -153, 2 
-119, 111, 1 
-97, 105, 1 
191, 229, 0 
207, -154, 2 
201, -118, 2 
-119, 116, 1 
177, 214, 0 
210, -182, 2 
-108, 116, 1 
181, 215, 0 
214, -135, 2 
212, -180, 2 
192, 216, 0 
207, -128, 2 
164, 231, 0 
-111, 99, 1 
-77, 114, 1 
180, 215, 0 
-99, 101, 1 
156, 223, 0 
211, -129, 2 
175, 219, 0 
-78, 115, 1 
191, 217, 0 
207, -177, 2 
189, 212, 0 
206, -140, 2 
207, -167, 2 
-83, 16, 1 
-104, 95, 1 
181, 231, 0 
-125, 127, 1 
-98, 117, 1 
-97, 121, 1 
205, -196, 2 
-234, 125, 1 
-114, 118, 1 
183, 208, 0 
212, -184, 2 
169, 214, 0 
196, 213, 0 
-118, 115, 1 
-112, 105, 1 
205, -199, 2 
192, 219, 0 
210, -148, 2 
207, -172, 2 
-100, 108, 1 
206, -173, 2 
48, 226, 0 
217, -118, 2 
207, -146, 2 
217, -114, 2 
177, 210, 0 
180, 221, 0 
208, -140, 2 
208, 211, 0 
211, -152, 2 
157, 212, 0 
-82, 101, 1 
205, -158, 2 
